seed: 1024
device: cuda:0
data_path: ./data/
dataset: Beauty
num_workers: 4
id_type: tiger
in_dims: [4096, 2048, 1024, 512, 256, 128, 64, 32]
codebook_dim: 32
codebook_sizes: [256, 256, 256, 256]
rqvae_dropout: 0
sinkhorn_open: True
sinkhorn_epsilons: [0.0, 0.0, 0.0, 0.003]
sinkhorn_iter: 50
kmeans_init_iter: 10
kmeans_cluster: 10
mu: 0.25
alpha: 0.02
beta: 0.0001
rqvae_epochs: 20000
rqvae_batch_size: 1024
rqvae_lr: 0.001
rqvae_wd: 0.0001
rqvae_optimizer: adamw
rqvae_eval_step: 2000
rqvae_eval_metric: unique_key_ratio
t54rec_config_dir_path: ./extra_config/tiger
rqvae_select_position: last
t54rec_epochs: 200
t54rec_train_batch_size: 256
t54rec_valid_batch_size: 64
t54rec_test_batch_size: 64
max_len: 20
t54rec_lr: 0.0005
t54rec_wd: 0.01
t54rec_optimizer: adamw
scheduler_type: cosine
warmup_ratio: 0.01
t54rec_eval_step: 1
t54rec_early_stop_step: 20
t54rec_eval_metric: loss
beam_size: 20
metrics: ['Recall', 'NDCG']
Step [390/514] - Avg Loss: 5.5539, Current lr: 0.0001896887
Step [400/514] - Avg Loss: 5.5399, Current lr: 0.0001945525
Step [410/514] - Avg Loss: 5.5256, Current lr: 0.0001994163
Step [420/514] - Avg Loss: 5.5126, Current lr: 0.0002042802
Step [430/514] - Avg Loss: 5.4995, Current lr: 0.0002091440
Step [440/514] - Avg Loss: 5.4865, Current lr: 0.0002140078
Step [450/514] - Avg Loss: 5.4734, Current lr: 0.0002188716
Step [460/514] - Avg Loss: 5.4604, Current lr: 0.0002237354
Step [470/514] - Avg Loss: 5.4481, Current lr: 0.0002285992
Step [480/514] - Avg Loss: 5.4354, Current lr: 0.0002334630
Step [490/514] - Avg Loss: 5.4231, Current lr: 0.0002383268
Step [500/514] - Avg Loss: 5.4109, Current lr: 0.0002431907
Step [510/514] - Avg Loss: 5.3995, Current lr: 0.0002480545
Epoch [1] - Avg Loss: 5.3948
Epoch [1] - Start Eval
Eval - Avg Loss: 4.8322
Save model at epoch [1]
Epoch [2] - Start Training
Step [10/514] - Avg Loss: 4.7708, Current lr: 0.0002548638
Step [20/514] - Avg Loss: 4.7499, Current lr: 0.0002597276
Step [30/514] - Avg Loss: 4.7398, Current lr: 0.0002645914
Step [40/514] - Avg Loss: 4.7251, Current lr: 0.0002694553
Step [50/514] - Avg Loss: 4.7150, Current lr: 0.0002743191
Step [60/514] - Avg Loss: 4.7124, Current lr: 0.0002791829
Step [70/514] - Avg Loss: 4.7025, Current lr: 0.0002840467
Step [80/514] - Avg Loss: 4.6954, Current lr: 0.0002889105
Step [90/514] - Avg Loss: 4.6841, Current lr: 0.0002937743
Step [100/514] - Avg Loss: 4.6757, Current lr: 0.0002986381
Step [110/514] - Avg Loss: 4.6642, Current lr: 0.0003035019
Step [120/514] - Avg Loss: 4.6564, Current lr: 0.0003083658
Step [130/514] - Avg Loss: 4.6481, Current lr: 0.0003132296
Step [140/514] - Avg Loss: 4.6379, Current lr: 0.0003180934
Step [150/514] - Avg Loss: 4.6272, Current lr: 0.0003229572
Step [160/514] - Avg Loss: 4.6168, Current lr: 0.0003278210
Step [170/514] - Avg Loss: 4.6058, Current lr: 0.0003326848
Step [180/514] - Avg Loss: 4.5972, Current lr: 0.0003375486
Step [190/514] - Avg Loss: 4.5878, Current lr: 0.0003424125
Step [200/514] - Avg Loss: 4.5774, Current lr: 0.0003472763
Step [210/514] - Avg Loss: 4.5688, Current lr: 0.0003521401
Step [220/514] - Avg Loss: 4.5600, Current lr: 0.0003570039
Step [230/514] - Avg Loss: 4.5504, Current lr: 0.0003618677
Step [240/514] - Avg Loss: 4.5402, Current lr: 0.0003667315
Step [250/514] - Avg Loss: 4.5294, Current lr: 0.0003715953
Step [260/514] - Avg Loss: 4.5191, Current lr: 0.0003764591
Step [270/514] - Avg Loss: 4.5092, Current lr: 0.0003813230
Step [280/514] - Avg Loss: 4.4981, Current lr: 0.0003861868
Step [290/514] - Avg Loss: 4.4890, Current lr: 0.0003910506
Step [300/514] - Avg Loss: 4.4783, Current lr: 0.0003959144
Step [310/514] - Avg Loss: 4.4676, Current lr: 0.0004007782
Step [320/514] - Avg Loss: 4.4567, Current lr: 0.0004056420
Step [330/514] - Avg Loss: 4.4462, Current lr: 0.0004105058
Step [340/514] - Avg Loss: 4.4366, Current lr: 0.0004153696
Step [350/514] - Avg Loss: 4.4258, Current lr: 0.0004202335
Step [360/514] - Avg Loss: 4.4155, Current lr: 0.0004250973
Step [370/514] - Avg Loss: 4.4055, Current lr: 0.0004299611
Step [380/514] - Avg Loss: 4.3969, Current lr: 0.0004348249
Step [390/514] - Avg Loss: 4.3869, Current lr: 0.0004396887
Step [400/514] - Avg Loss: 4.3769, Current lr: 0.0004445525
Step [410/514] - Avg Loss: 4.3670, Current lr: 0.0004494163
Step [420/514] - Avg Loss: 4.3565, Current lr: 0.0004542802
Step [430/514] - Avg Loss: 4.3474, Current lr: 0.0004591440
Step [440/514] - Avg Loss: 4.3373, Current lr: 0.0004640078
Step [450/514] - Avg Loss: 4.3272, Current lr: 0.0004688716
Step [460/514] - Avg Loss: 4.3170, Current lr: 0.0004737354
Step [470/514] - Avg Loss: 4.3086, Current lr: 0.0004785992
Step [480/514] - Avg Loss: 4.2996, Current lr: 0.0004834630
Step [490/514] - Avg Loss: 4.2910, Current lr: 0.0004883268
Step [500/514] - Avg Loss: 4.2817, Current lr: 0.0004931907
Step [510/514] - Avg Loss: 4.2727, Current lr: 0.0004980545
Epoch [2] - Avg Loss: 4.2683
Epoch [2] - Start Eval
Eval - Avg Loss: 3.8465
Save model at epoch [2]
Epoch [3] - Start Training
Step [10/514] - Avg Loss: 3.7560, Current lr: 0.0005000000
Step [20/514] - Avg Loss: 3.7428, Current lr: 0.0005000000
Step [30/514] - Avg Loss: 3.7461, Current lr: 0.0004999999
Step [40/514] - Avg Loss: 3.7371, Current lr: 0.0004999998
Step [50/514] - Avg Loss: 3.7347, Current lr: 0.0004999997
Step [60/514] - Avg Loss: 3.7247, Current lr: 0.0004999996
Step [70/514] - Avg Loss: 3.7190, Current lr: 0.0004999994
Step [80/514] - Avg Loss: 3.7141, Current lr: 0.0004999992
Step [90/514] - Avg Loss: 3.7099, Current lr: 0.0004999990
Step [100/514] - Avg Loss: 3.7030, Current lr: 0.0004999988
Step [110/514] - Avg Loss: 3.6968, Current lr: 0.0004999986
Step [120/514] - Avg Loss: 3.6915, Current lr: 0.0004999983
Step [130/514] - Avg Loss: 3.6849, Current lr: 0.0004999980
Step [140/514] - Avg Loss: 3.6806, Current lr: 0.0004999977
Step [150/514] - Avg Loss: 3.6713, Current lr: 0.0004999973
Step [160/514] - Avg Loss: 3.6638, Current lr: 0.0004999970
Step [170/514] - Avg Loss: 3.6571, Current lr: 0.0004999966
Step [180/514] - Avg Loss: 3.6487, Current lr: 0.0004999961
Step [190/514] - Avg Loss: 3.6422, Current lr: 0.0004999957
Step [200/514] - Avg Loss: 3.6337, Current lr: 0.0004999952
Step [210/514] - Avg Loss: 3.6259, Current lr: 0.0004999947
Step [220/514] - Avg Loss: 3.6174, Current lr: 0.0004999942
Step [230/514] - Avg Loss: 3.6119, Current lr: 0.0004999937
Step [240/514] - Avg Loss: 3.6037, Current lr: 0.0004999931
Step [250/514] - Avg Loss: 3.5975, Current lr: 0.0004999926
Step [260/514] - Avg Loss: 3.5903, Current lr: 0.0004999919
Step [270/514] - Avg Loss: 3.5830, Current lr: 0.0004999913
Step [280/514] - Avg Loss: 3.5754, Current lr: 0.0004999907
Step [290/514] - Avg Loss: 3.5693, Current lr: 0.0004999900
Step [300/514] - Avg Loss: 3.5635, Current lr: 0.0004999893
Step [310/514] - Avg Loss: 3.5571, Current lr: 0.0004999886
Step [320/514] - Avg Loss: 3.5513, Current lr: 0.0004999878
Step [330/514] - Avg Loss: 3.5462, Current lr: 0.0004999870
Step [340/514] - Avg Loss: 3.5393, Current lr: 0.0004999862
Step [350/514] - Avg Loss: 3.5336, Current lr: 0.0004999854
Step [360/514] - Avg Loss: 3.5286, Current lr: 0.0004999846
Step [370/514] - Avg Loss: 3.5229, Current lr: 0.0004999837
Step [380/514] - Avg Loss: 3.5185, Current lr: 0.0004999828
Step [390/514] - Avg Loss: 3.5126, Current lr: 0.0004999819
Step [400/514] - Avg Loss: 3.5070, Current lr: 0.0004999809
Step [410/514] - Avg Loss: 3.5008, Current lr: 0.0004999800
Step [420/514] - Avg Loss: 3.4958, Current lr: 0.0004999790
Step [430/514] - Avg Loss: 3.4910, Current lr: 0.0004999780
Step [440/514] - Avg Loss: 3.4865, Current lr: 0.0004999769
Step [450/514] - Avg Loss: 3.4821, Current lr: 0.0004999759
Step [460/514] - Avg Loss: 3.4766, Current lr: 0.0004999748
Step [470/514] - Avg Loss: 3.4722, Current lr: 0.0004999737
Step [480/514] - Avg Loss: 3.4666, Current lr: 0.0004999726
Step [490/514] - Avg Loss: 3.4612, Current lr: 0.0004999714
Step [500/514] - Avg Loss: 3.4559, Current lr: 0.0004999702
Step [510/514] - Avg Loss: 3.4515, Current lr: 0.0004999690
Epoch [3] - Avg Loss: 3.4500
Epoch [3] - Start Eval
Eval - Avg Loss: 3.2126
Save model at epoch [3]
Epoch [4] - Start Training
Step [10/514] - Avg Loss: 3.2073, Current lr: 0.0004999673
Step [20/514] - Avg Loss: 3.2158, Current lr: 0.0004999660
Step [30/514] - Avg Loss: 3.1865, Current lr: 0.0004999648
Step [40/514] - Avg Loss: 3.1735, Current lr: 0.0004999634
Step [50/514] - Avg Loss: 3.1787, Current lr: 0.0004999621
Step [60/514] - Avg Loss: 3.1714, Current lr: 0.0004999608
Step [70/514] - Avg Loss: 3.1590, Current lr: 0.0004999594
Step [80/514] - Avg Loss: 3.1503, Current lr: 0.0004999580
Step [90/514] - Avg Loss: 3.1469, Current lr: 0.0004999565
Step [100/514] - Avg Loss: 3.1409, Current lr: 0.0004999551
Step [110/514] - Avg Loss: 3.1383, Current lr: 0.0004999536
Step [120/514] - Avg Loss: 3.1369, Current lr: 0.0004999521
Step [130/514] - Avg Loss: 3.1295, Current lr: 0.0004999506
Step [140/514] - Avg Loss: 3.1278, Current lr: 0.0004999491
Step [150/514] - Avg Loss: 3.1236, Current lr: 0.0004999475
Step [160/514] - Avg Loss: 3.1214, Current lr: 0.0004999459
Step [170/514] - Avg Loss: 3.1191, Current lr: 0.0004999443
Step [180/514] - Avg Loss: 3.1166, Current lr: 0.0004999426
Step [190/514] - Avg Loss: 3.1119, Current lr: 0.0004999410
Step [200/514] - Avg Loss: 3.1089, Current lr: 0.0004999393
Step [210/514] - Avg Loss: 3.1068, Current lr: 0.0004999376
Step [220/514] - Avg Loss: 3.1039, Current lr: 0.0004999358
Step [230/514] - Avg Loss: 3.0990, Current lr: 0.0004999341
Step [240/514] - Avg Loss: 3.0957, Current lr: 0.0004999323
Step [250/514] - Avg Loss: 3.0924, Current lr: 0.0004999305
Step [260/514] - Avg Loss: 3.0891, Current lr: 0.0004999286
Step [270/514] - Avg Loss: 3.0847, Current lr: 0.0004999268
Step [280/514] - Avg Loss: 3.0803, Current lr: 0.0004999249
Step [290/514] - Avg Loss: 3.0764, Current lr: 0.0004999230
Step [300/514] - Avg Loss: 3.0737, Current lr: 0.0004999211
Step [310/514] - Avg Loss: 3.0724, Current lr: 0.0004999191
Step [320/514] - Avg Loss: 3.0700, Current lr: 0.0004999172
Step [330/514] - Avg Loss: 3.0679, Current lr: 0.0004999152
Step [340/514] - Avg Loss: 3.0646, Current lr: 0.0004999131
Step [350/514] - Avg Loss: 3.0620, Current lr: 0.0004999111
Step [360/514] - Avg Loss: 3.0585, Current lr: 0.0004999090
Step [370/514] - Avg Loss: 3.0551, Current lr: 0.0004999069
Step [380/514] - Avg Loss: 3.0521, Current lr: 0.0004999048
Step [390/514] - Avg Loss: 3.0486, Current lr: 0.0004999027
Step [400/514] - Avg Loss: 3.0461, Current lr: 0.0004999005
Step [410/514] - Avg Loss: 3.0440, Current lr: 0.0004998983
Step [420/514] - Avg Loss: 3.0406, Current lr: 0.0004998961
Step [430/514] - Avg Loss: 3.0375, Current lr: 0.0004998939
Step [440/514] - Avg Loss: 3.0343, Current lr: 0.0004998916
Step [450/514] - Avg Loss: 3.0327, Current lr: 0.0004998893
Step [460/514] - Avg Loss: 3.0297, Current lr: 0.0004998870
Step [470/514] - Avg Loss: 3.0277, Current lr: 0.0004998847
Step [480/514] - Avg Loss: 3.0247, Current lr: 0.0004998823
Step [490/514] - Avg Loss: 3.0222, Current lr: 0.0004998799
Step [500/514] - Avg Loss: 3.0201, Current lr: 0.0004998775
Step [510/514] - Avg Loss: 3.0169, Current lr: 0.0004998751
Epoch [4] - Avg Loss: 3.0160
Epoch [4] - Start Eval
Eval - Avg Loss: 2.8704
Save model at epoch [4]
Epoch [5] - Start Training
Step [10/514] - Avg Loss: 2.8964, Current lr: 0.0004998717
Step [20/514] - Avg Loss: 2.8484, Current lr: 0.0004998692
Step [30/514] - Avg Loss: 2.8401, Current lr: 0.0004998667
Step [40/514] - Avg Loss: 2.8439, Current lr: 0.0004998642
Step [50/514] - Avg Loss: 2.8468, Current lr: 0.0004998616
Step [60/514] - Avg Loss: 2.8400, Current lr: 0.0004998590
Step [70/514] - Avg Loss: 2.8413, Current lr: 0.0004998564
Step [80/514] - Avg Loss: 2.8384, Current lr: 0.0004998538
Step [90/514] - Avg Loss: 2.8311, Current lr: 0.0004998511
Step [100/514] - Avg Loss: 2.8287, Current lr: 0.0004998485
Step [110/514] - Avg Loss: 2.8273, Current lr: 0.0004998458
Step [120/514] - Avg Loss: 2.8250, Current lr: 0.0004998430
Step [130/514] - Avg Loss: 2.8223, Current lr: 0.0004998403
Step [140/514] - Avg Loss: 2.8217, Current lr: 0.0004998375
Step [150/514] - Avg Loss: 2.8223, Current lr: 0.0004998347
Step [160/514] - Avg Loss: 2.8191, Current lr: 0.0004998319
Step [170/514] - Avg Loss: 2.8158, Current lr: 0.0004998291
Step [180/514] - Avg Loss: 2.8149, Current lr: 0.0004998262
Step [190/514] - Avg Loss: 2.8113, Current lr: 0.0004998233
Step [200/514] - Avg Loss: 2.8101, Current lr: 0.0004998204
Step [210/514] - Avg Loss: 2.8087, Current lr: 0.0004998175
Step [220/514] - Avg Loss: 2.8092, Current lr: 0.0004998145
Step [230/514] - Avg Loss: 2.8087, Current lr: 0.0004998115
Step [240/514] - Avg Loss: 2.8080, Current lr: 0.0004998085
Step [250/514] - Avg Loss: 2.8062, Current lr: 0.0004998055
Step [260/514] - Avg Loss: 2.8052, Current lr: 0.0004998024
Step [270/514] - Avg Loss: 2.8039, Current lr: 0.0004997993
Step [280/514] - Avg Loss: 2.8030, Current lr: 0.0004997962
Step [290/514] - Avg Loss: 2.8018, Current lr: 0.0004997931
Step [300/514] - Avg Loss: 2.7999, Current lr: 0.0004997900
Step [310/514] - Avg Loss: 2.7978, Current lr: 0.0004997868
Step [320/514] - Avg Loss: 2.7967, Current lr: 0.0004997836
Step [330/514] - Avg Loss: 2.7942, Current lr: 0.0004997804
Step [340/514] - Avg Loss: 2.7926, Current lr: 0.0004997771
Step [350/514] - Avg Loss: 2.7904, Current lr: 0.0004997739
Step [360/514] - Avg Loss: 2.7884, Current lr: 0.0004997706
Step [370/514] - Avg Loss: 2.7864, Current lr: 0.0004997672
Step [380/514] - Avg Loss: 2.7845, Current lr: 0.0004997639
Step [390/514] - Avg Loss: 2.7826, Current lr: 0.0004997605
Step [400/514] - Avg Loss: 2.7800, Current lr: 0.0004997571
Step [410/514] - Avg Loss: 2.7781, Current lr: 0.0004997537
Step [420/514] - Avg Loss: 2.7773, Current lr: 0.0004997503
Step [430/514] - Avg Loss: 2.7752, Current lr: 0.0004997468
Step [440/514] - Avg Loss: 2.7735, Current lr: 0.0004997434
Step [450/514] - Avg Loss: 2.7709, Current lr: 0.0004997398
Step [460/514] - Avg Loss: 2.7696, Current lr: 0.0004997363
Step [470/514] - Avg Loss: 2.7682, Current lr: 0.0004997328
Step [480/514] - Avg Loss: 2.7660, Current lr: 0.0004997292
Step [490/514] - Avg Loss: 2.7644, Current lr: 0.0004997256
Step [500/514] - Avg Loss: 2.7625, Current lr: 0.0004997220
Step [510/514] - Avg Loss: 2.7608, Current lr: 0.0004997183
Epoch [5] - Avg Loss: 2.7597
Epoch [5] - Start Eval
Eval - Avg Loss: 2.6344
Save model at epoch [5]
Epoch [6] - Start Training
Step [10/514] - Avg Loss: 2.6198, Current lr: 0.0004997132
Step [20/514] - Avg Loss: 2.6317, Current lr: 0.0004997094
Step [30/514] - Avg Loss: 2.6294, Current lr: 0.0004997057
Step [40/514] - Avg Loss: 2.6259, Current lr: 0.0004997020
Step [50/514] - Avg Loss: 2.6223, Current lr: 0.0004996982
Step [60/514] - Avg Loss: 2.6272, Current lr: 0.0004996944
Step [70/514] - Avg Loss: 2.6254, Current lr: 0.0004996905
Step [80/514] - Avg Loss: 2.6221, Current lr: 0.0004996867
Step [90/514] - Avg Loss: 2.6245, Current lr: 0.0004996828
Step [100/514] - Avg Loss: 2.6215, Current lr: 0.0004996789
Step [110/514] - Avg Loss: 2.6221, Current lr: 0.0004996750
Step [120/514] - Avg Loss: 2.6210, Current lr: 0.0004996711
Step [130/514] - Avg Loss: 2.6163, Current lr: 0.0004996671
Step [140/514] - Avg Loss: 2.6109, Current lr: 0.0004996631
Step [150/514] - Avg Loss: 2.6109, Current lr: 0.0004996591
Step [160/514] - Avg Loss: 2.6092, Current lr: 0.0004996550
Step [170/514] - Avg Loss: 2.6076, Current lr: 0.0004996510
Step [180/514] - Avg Loss: 2.6076, Current lr: 0.0004996469
Step [190/514] - Avg Loss: 2.6076, Current lr: 0.0004996428
Step [200/514] - Avg Loss: 2.6080, Current lr: 0.0004996386
Step [210/514] - Avg Loss: 2.6086, Current lr: 0.0004996345
Step [220/514] - Avg Loss: 2.6069, Current lr: 0.0004996303
Step [230/514] - Avg Loss: 2.6064, Current lr: 0.0004996261
Step [240/514] - Avg Loss: 2.6057, Current lr: 0.0004996219
Step [250/514] - Avg Loss: 2.6040, Current lr: 0.0004996176
Step [260/514] - Avg Loss: 2.6024, Current lr: 0.0004996133
Step [270/514] - Avg Loss: 2.6032, Current lr: 0.0004996090
Step [280/514] - Avg Loss: 2.6034, Current lr: 0.0004996047
Step [290/514] - Avg Loss: 2.6027, Current lr: 0.0004996003
Step [300/514] - Avg Loss: 2.6001, Current lr: 0.0004995960
Step [310/514] - Avg Loss: 2.5991, Current lr: 0.0004995916
Step [320/514] - Avg Loss: 2.5992, Current lr: 0.0004995871
Step [330/514] - Avg Loss: 2.5971, Current lr: 0.0004995827
Step [340/514] - Avg Loss: 2.5955, Current lr: 0.0004995782
Step [350/514] - Avg Loss: 2.5945, Current lr: 0.0004995737
Step [360/514] - Avg Loss: 2.5949, Current lr: 0.0004995692
Step [370/514] - Avg Loss: 2.5937, Current lr: 0.0004995647
Step [380/514] - Avg Loss: 2.5934, Current lr: 0.0004995601
Step [390/514] - Avg Loss: 2.5922, Current lr: 0.0004995555
Step [400/514] - Avg Loss: 2.5909, Current lr: 0.0004995509
Step [410/514] - Avg Loss: 2.5891, Current lr: 0.0004995463
Step [420/514] - Avg Loss: 2.5886, Current lr: 0.0004995416
Step [430/514] - Avg Loss: 2.5870, Current lr: 0.0004995369
Step [440/514] - Avg Loss: 2.5861, Current lr: 0.0004995322
Step [450/514] - Avg Loss: 2.5854, Current lr: 0.0004995275
Step [460/514] - Avg Loss: 2.5840, Current lr: 0.0004995228
Step [470/514] - Avg Loss: 2.5831, Current lr: 0.0004995180
Step [480/514] - Avg Loss: 2.5814, Current lr: 0.0004995132
Step [490/514] - Avg Loss: 2.5808, Current lr: 0.0004995083
Step [500/514] - Avg Loss: 2.5799, Current lr: 0.0004995035
Step [510/514] - Avg Loss: 2.5786, Current lr: 0.0004994986
Epoch [6] - Avg Loss: 2.5780
Epoch [6] - Start Eval
Eval - Avg Loss: 2.4625
Save model at epoch [6]
Epoch [7] - Start Training
Step [10/514] - Avg Loss: 2.5014, Current lr: 0.0004994918
Step [20/514] - Avg Loss: 2.4764, Current lr: 0.0004994868
Step [30/514] - Avg Loss: 2.4758, Current lr: 0.0004994819
Step [40/514] - Avg Loss: 2.4795, Current lr: 0.0004994769
Step [50/514] - Avg Loss: 2.4873, Current lr: 0.0004994719
Step [60/514] - Avg Loss: 2.4879, Current lr: 0.0004994669
Step [70/514] - Avg Loss: 2.4823, Current lr: 0.0004994618
Step [80/514] - Avg Loss: 2.4803, Current lr: 0.0004994568
Step [90/514] - Avg Loss: 2.4759, Current lr: 0.0004994517
Step [100/514] - Avg Loss: 2.4767, Current lr: 0.0004994465
Step [110/514] - Avg Loss: 2.4728, Current lr: 0.0004994414
Step [120/514] - Avg Loss: 2.4751, Current lr: 0.0004994362
Step [130/514] - Avg Loss: 2.4758, Current lr: 0.0004994310
Step [140/514] - Avg Loss: 2.4769, Current lr: 0.0004994258
Step [150/514] - Avg Loss: 2.4768, Current lr: 0.0004994206
Step [160/514] - Avg Loss: 2.4758, Current lr: 0.0004994153
Step [170/514] - Avg Loss: 2.4725, Current lr: 0.0004994100
Step [180/514] - Avg Loss: 2.4720, Current lr: 0.0004994047
Step [190/514] - Avg Loss: 2.4718, Current lr: 0.0004993994
Step [200/514] - Avg Loss: 2.4704, Current lr: 0.0004993940
Step [210/514] - Avg Loss: 2.4693, Current lr: 0.0004993886
Step [220/514] - Avg Loss: 2.4692, Current lr: 0.0004993832
Step [230/514] - Avg Loss: 2.4682, Current lr: 0.0004993778
Step [240/514] - Avg Loss: 2.4671, Current lr: 0.0004993724
Step [250/514] - Avg Loss: 2.4659, Current lr: 0.0004993669
Step [260/514] - Avg Loss: 2.4662, Current lr: 0.0004993614
Step [270/514] - Avg Loss: 2.4647, Current lr: 0.0004993559
Step [280/514] - Avg Loss: 2.4646, Current lr: 0.0004993503
Step [290/514] - Avg Loss: 2.4639, Current lr: 0.0004993447
Step [300/514] - Avg Loss: 2.4629, Current lr: 0.0004993391
Step [310/514] - Avg Loss: 2.4621, Current lr: 0.0004993335
Step [320/514] - Avg Loss: 2.4608, Current lr: 0.0004993279
Step [330/514] - Avg Loss: 2.4591, Current lr: 0.0004993222
Step [340/514] - Avg Loss: 2.4580, Current lr: 0.0004993165
Step [350/514] - Avg Loss: 2.4571, Current lr: 0.0004993108
Step [360/514] - Avg Loss: 2.4553, Current lr: 0.0004993051
Step [370/514] - Avg Loss: 2.4537, Current lr: 0.0004992993
Step [380/514] - Avg Loss: 2.4517, Current lr: 0.0004992935
Step [390/514] - Avg Loss: 2.4522, Current lr: 0.0004992877
Step [400/514] - Avg Loss: 2.4518, Current lr: 0.0004992819
Step [410/514] - Avg Loss: 2.4508, Current lr: 0.0004992760
Step [420/514] - Avg Loss: 2.4507, Current lr: 0.0004992701
Step [430/514] - Avg Loss: 2.4498, Current lr: 0.0004992642
Step [440/514] - Avg Loss: 2.4483, Current lr: 0.0004992583
Step [450/514] - Avg Loss: 2.4472, Current lr: 0.0004992523
Step [460/514] - Avg Loss: 2.4459, Current lr: 0.0004992464
Step [470/514] - Avg Loss: 2.4450, Current lr: 0.0004992404
Step [480/514] - Avg Loss: 2.4445, Current lr: 0.0004992344
Step [490/514] - Avg Loss: 2.4439, Current lr: 0.0004992283
Step [500/514] - Avg Loss: 2.4432, Current lr: 0.0004992222
Step [510/514] - Avg Loss: 2.4424, Current lr: 0.0004992161
Epoch [7] - Avg Loss: 2.4416
Epoch [7] - Start Eval
Eval - Avg Loss: 2.3350
Save model at epoch [7]
Epoch [8] - Start Training
Step [10/514] - Avg Loss: 2.3283, Current lr: 0.0004992076
